product_code_or_sku,orders,revenue,qty_sold,Date
NLE5SP_6DBK_AD,1,18.32,1,2021-07-10
NLE5SP_5DT_SA,1,15.84,1,2021-07-10
NLE5SP_5DT_SC,1,13.05,1,2021-07-10
NLE5NC_1443,1,14.29,1,2021-07-10
NLE5SP_6DP_36SSCF,0,0.0,0,2021-07-10
NLE5SP_6DT_CS11,0,0.0,0,2021-07-10
NLE5SP_6DT_36SS,0,0.0,0,2021-07-10
NLE5SP_6DP_XRB,0,0.0,0,2021-07-10
NLE5SP_6DP_VC,1,0.0,1,2021-07-10
NLE5SP_6DP_SC,0,0.0,0,2021-07-10
NLE5SP_6DBK_E45,0,0.0,0,2021-07-10
NLE5SP_6DBK_48SS,0,0.0,0,2021-07-10
NLE5SP_6DBK_24,0,0.0,0,2021-07-10
NLE5UM_6150,0,0.0,0,2021-07-10
NLE5AS_335CL_C24,0,0.0,0,2021-07-10
NLE5CO_55300_20,0,0.0,0,2021-07-10
NLE5SC_SUPERCEDAR,0,0.0,0,2021-07-11
NLE5SB_36072M,0,0.0,0,2021-07-11
NLE5NC_1443,0,0.0,0,2021-07-11
NLE5RU_97S,0,0.0,0,2021-07-11
NLE5SA_8115,0,0.0,0,2021-07-11
NLE5SP_8DT_VC,0,0.0,0,2021-07-11
NLE5SP_6DT_CS11,1,136.82,1,2021-07-11
NLE5SP_6DVL_48,1,117.99,1,2021-07-11
NLE5SA_8116,1,165.0,12,2021-07-11
NLE5SP_6DT_48SS,2,681.99,3,2021-07-11
NLE5SE_6UT_48,2,419.54,2,2021-07-11
NLE5CF_LGL,2,279.98,2,2021-07-11
ROUTEINS,68,183.91,68,2021-07-11
NLE5SP_8DBK_48SS,1,253.68,4,2021-07-11
NLE5SP_6DT_VC,1,79.06,1,2021-07-11
NLE5SP_6DVL_ADC,1,26.68,1,2021-07-11
NLE5SP_6DBK_24,1,22.96,1,2021-07-11
NLE5SP_6DBK_AD,1,18.32,1,2021-07-11
NLE5SP_5DT_SC,1,13.05,1,2021-07-11
NLE5AS_335CL_C24,1,9.95,1,2021-07-11
NLE5CO_55300_20,1,8.7,3,2021-07-11
NLE5SP_6DT_F6,1,72.17,1,2021-07-11
NLE5SP_6DBK_TL,1,80.13,1,2021-07-11
NLE5SP_6DBK_E90,0,0.0,0,2021-07-11
NLE5SP_6DBK_E45,0,0.0,0,2021-07-11
NLE5SP_5DT_SA,0,0.0,0,2021-07-11
NLE5SP_6DBK_48,0,0.0,0,2021-07-11
NLE5SP_6DBK_48SS,0,0.0,0,2021-07-11
NLE5SP_6DBK_DS,0,0.0,0,2021-07-11
NLE5SP_6DVL_E45,0,0.0,0,2021-07-11
NLE5SP_6DVL_ADWD,0,0.0,0,2021-07-11
NLE5SP_6DVL_ADT,0,0.0,0,2021-07-11
NLE5SP_6DVL_AD,0,0.0,0,2021-07-11
NLE5SP_6DVL_68TA,0,0.0,0,2021-07-11
NLE5SP_6DVL_46TA,0,0.0,0,2021-07-11
NLE5SP_6DT_FC,0,0.0,0,2021-07-11
NLE5SP_6DP_36SSCF,0,0.0,0,2021-07-11
NLE5SP_6DT_36SS,0,0.0,0,2021-07-11
NLE5SP_6DP_SC,0,0.0,0,2021-07-11
NLE5SP_6DP_VC,0,0.0,0,2021-07-11
